manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,e-Golf,85,10.10.2018,75457,102.0,10.95,Electricity,Summer tires,0,1,0,Normal,13.6,0,0,77.0,-3.200000000000001,
Volkswagen,Golf,e-Golf,85,09.10.2018,75355,73.0,13.24,Electricity,Summer tires,0,1,0,Normal,13.9,0,0,78.0,-2.9000000000000004,
Volkswagen,Golf,e-Golf,85,09.10.2018,75282,100.0,10.24,Electricity,Summer tires,0,1,0,Moderate,13.1,0,1,72.0,-3.700000000000001,
Volkswagen,Golf,e-Golf,85,08.10.2018,75182,71.0,13.67,Electricity,Summer tires,0,1,0,Normal,14.2,0,0,85.0,-2.6000000000000014,
Volkswagen,Golf,e-Golf,85,08.10.2018,75111,71.0,9.66,Electricity,Summer tires,0,1,0,Moderate,14.6,0,1,62.0,-2.200000000000001,
Volkswagen,Golf,e-Golf,85,08.10.2018,75040,34.0,12.47,Electricity,Summer tires,0,1,0,Normal,15.0,0,1,64.0,-1.8000000000000007,
Volkswagen,Golf,e-Golf,85,07.10.2018,75006,69.0,4.97,Electricity,Summer tires,0,1,0,Normal,14.8,0,1,86.0,-2.0,
Volkswagen,Golf,e-Golf,85,07.10.2018,74937,125.0,12.83,Electricity,Summer tires,0,0,1,Moderate,12.2,0,1,53.0,-4.600000000000001,
Volkswagen,Golf,e-Golf,85,07.10.2018,74812,111.0,11.87,Electricity,Summer tires,0,0,1,Moderate,12.2,0,0,56.0,-4.600000000000001,
Volkswagen,Golf,e-Golf,85,07.10.2018,74701,83.0,10.71,Electricity,Summer tires,0,1,0,Moderate,12.4,0,0,66.0,-4.4,
Volkswagen,Golf,e-Golf,85,06.10.2018,74618,85.0,10.37,Electricity,Summer tires,0,0,1,Moderate,13.2,0,0,53.0,-3.6000000000000014,
Volkswagen,Golf,e-Golf,85,06.10.2018,74533,17.0,6.35,Electricity,Summer tires,0,1,0,Moderate,12.5,0,0,53.0,-4.300000000000001,
Volkswagen,Golf,e-Golf,85,05.10.2018,74516,74.0,6.38,Electricity,Summer tires,0,1,0,Normal,13.4,0,0,74.0,-3.4000000000000004,
